iter	RMSE
0	14.63323116
1	14.37403473
2	14.13949955
3	13.88502975
4	13.67210922
5	13.46611969
6	13.28204791
7	13.13038326
8	12.93592362
9	12.71617171
10	12.52573061
11	12.3389134
12	12.16048704
13	12.01292614
14	11.83309074
15	11.66090796
16	11.46716858
17	11.30855072
18	11.11508964
19	10.95765208
20	10.81895083
21	10.68947439
22	10.54251424
23	10.39542615
24	10.24248873
25	10.11186703
26	9.971021621
27	9.826020381
28	9.684133618
29	9.555718787
30	9.448182821
31	9.302678458
32	9.189167195
33	9.063244377
34	8.935021837
35	8.831800308
36	8.717745064
37	8.630279119
38	8.512493563
39	8.412722427
40	8.325100778
41	8.243036698
42	8.149656203
43	8.067164009
44	7.980494154
45	7.905382503
46	7.833276882
47	7.751729932
48	7.684763857
49	7.608960285
50	7.542511909
51	7.466370148
52	7.390734596
53	7.321952804
54	7.248341942
55	7.183235075
56	7.120350063
57	7.057858202
58	7.000746721
59	6.938811186
60	6.877480376
61	6.819673916
62	6.758973156
63	6.694729385
64	6.63520621
65	6.573172836
66	6.520417062
67	6.486239846
68	6.434001824
69	6.379403395
70	6.3434762
71	6.288907763
72	6.24331751
73	6.198584263
74	6.156147413
75	6.118667842
76	6.076851418
77	6.047768588
78	6.013807851
79	5.979390775
80	5.945242511
81	5.912092039
82	5.875558302
83	5.841708361
84	5.805532214
85	5.770788181
86	5.738667413
87	5.716163631
88	5.684175666
89	5.656732337
90	5.62925358
91	5.597096118
92	5.565893088
93	5.538840842
94	5.513134827
95	5.478984083
96	5.456087243
97	5.436469603
98	5.418933949
99	5.391559292
100	5.363262884
101	5.351154116
102	5.324227553
103	5.303275562
104	5.271155731
105	5.243060029
106	5.220314695
107	5.20922876
108	5.186325047
109	5.16005166
110	5.137271179
111	5.114153955
112	5.095490384
113	5.075590584
114	5.061620149
115	5.040057475
116	5.024502111
117	5.015629898
118	4.997113094
119	4.977641272
120	4.953911569
121	4.936256837
122	4.916769451
123	4.906575153
124	4.889210946
125	4.869796288
126	4.853710795
127	4.835217997
128	4.815791188
129	4.803805669
130	4.784976704
131	4.774736921
132	4.751954731
133	4.736439975
134	4.718519749
135	4.703840588
136	4.694696589
137	4.68071362
138	4.668826654
139	4.651950625
140	4.63600394
141	4.618910744
142	4.607495746
143	4.592356415
144	4.580728272
145	4.565578704
146	4.548321694
147	4.533944698
148	4.51991094
149	4.504927078
150	4.495101324
151	4.476923864
152	4.466061722
153	4.453691138
154	4.442337788
155	4.429273733
156	4.415052694
157	4.40208507
158	4.392477629
159	4.378173914
160	4.364102005
161	4.348069226
162	4.345882347
163	4.331372347
164	4.317856048
165	4.306134516
166	4.294828576
167	4.286415421
168	4.273331051
169	4.266646982
170	4.255826179
171	4.246297839
172	4.234112584
173	4.226712213
174	4.213278418
175	4.200345137
176	4.187815763
177	4.179814654
178	4.164552787
179	4.156392922
180	4.147749349
181	4.135229249
182	4.127370333
183	4.121269325
184	4.113792709
185	4.103160599
186	4.09415658
187	4.085903641
188	4.076820392
189	4.060207
190	4.054269199
191	4.043994019
192	4.037179327
193	4.030755188
194	4.024174984
195	4.016411549
196	4.005219314
197	3.99909202
198	3.991361718
199	3.9782171
200	3.969434942
201	3.959664316
202	3.952373804
203	3.938139842
204	3.928230908
205	3.920342274
206	3.915714217
207	3.90820455
208	3.901405924
209	3.897241669
210	3.889987986
211	3.880787517
212	3.874057109
213	3.862613129
214	3.857074935
215	3.853631966
216	3.838546192
217	3.833767763
218	3.825364952
219	3.817045731
220	3.806627943
221	3.801680414
222	3.794213568
223	3.789835671
224	3.778887655
225	3.77480833
226	3.7691928
227	3.7671998
228	3.761797438
229	3.75489349
230	3.747794837
231	3.742683741
232	3.730187658
233	3.722221911
234	3.716258114
235	3.7102732
236	3.700064473
237	3.685436407
238	3.674881048
239	3.669199555
240	3.665753455
241	3.66023554
242	3.654952936
243	3.651260468
244	3.644945043
245	3.639514619
246	3.632177065
247	3.621736451
248	3.616750277
249	3.606856312
250	3.598747072
251	3.595636851
252	3.587390836
253	3.579010196
254	3.57407676
255	3.567678843
256	3.561933338
257	3.553125974
258	3.543160524
259	3.538078665
260	3.535540874
261	3.529552556
262	3.520474647
263	3.517535823
264	3.512905614
265	3.503102724
266	3.497933504
267	3.487948943
268	3.480064749
269	3.475149545
270	3.471523015
271	3.467266874
272	3.464034362
273	3.450887615
274	3.441300674
275	3.438571806
276	3.435180187
277	3.429840698
278	3.417425368
279	3.413328854
280	3.408683321
281	3.406013227
282	3.401894865
283	3.392042352
284	3.385636696
285	3.380523429
286	3.376467802
287	3.372802157
288	3.36931818
289	3.363162576
290	3.355362767
291	3.3473302
292	3.342742311
293	3.337441518
294	3.335059612
295	3.331404451
296	3.328119894
297	3.323825068
298	3.315375335
299	3.311629238
300	3.304690309
301	3.30186257
302	3.294992813
303	3.291547796
304	3.280049367
305	3.275716039
306	3.267988377
307	3.264910825
308	3.262252025
309	3.253677549
310	3.24248282
311	3.239079036
312	3.234741928
313	3.231454637
314	3.228519924
315	3.221789089
316	3.211606194
317	3.208701184
318	3.204440158
319	3.198531008
320	3.195083854
321	3.191979448
322	3.18473576
323	3.172430368
324	3.169594672
325	3.165345874
326	3.159250846
327	3.151135102
328	3.147605646
329	3.14373311
330	3.141371418
331	3.137837797
332	3.135012593
333	3.130410597
334	3.123774646
335	3.120988301
336	3.117726123
337	3.114443006
338	3.11189136
339	3.109295657
340	3.098318786
341	3.095134448
342	3.089660816
343	3.087228343
344	3.084553953
345	3.072742252
346	3.066387161
347	3.064355533
348	3.056309603
349	3.055203191
350	3.046599596
351	3.036733342
352	3.030760861
353	3.023992623
354	3.020517011
355	3.017139083
356	3.013755543
357	3.011278987
358	3.000853406
359	2.995014816
360	2.989049821
361	2.980323561
362	2.973411584
363	2.967794075
364	2.964813714
365	2.955387491
366	2.949644792
367	2.941105578
368	2.937480714
369	2.930324736
370	2.918875472
371	2.911241227
372	2.908939366
373	2.898316807
374	2.896545817
375	2.88852447
376	2.883027631
377	2.877689781
378	2.87291906
379	2.867920864
380	2.864146623
381	2.861826906
382	2.859097508
383	2.848549822
384	2.841052204
385	2.834840014
386	2.826639778
387	2.820195781
388	2.815343015
389	2.809880917
390	2.807654091
391	2.796478458
392	2.791863106
393	2.782355109
394	2.776129543
395	2.773651374
396	2.768508981
397	2.765459782
398	2.75804848
399	2.754518547
400	2.753597317
401	2.751535734
402	2.740700346
403	2.734963754
404	2.73233704
405	2.730336501
406	2.728909598
407	2.72418735
408	2.712648126
409	2.708620868
410	2.702224566
411	2.696983515
412	2.69602559
413	2.690045165
414	2.688338668
415	2.681971442
416	2.673776202
417	2.670385425
418	2.664192279
419	2.663866557
420	2.657705233
421	2.652499631
422	2.647455623
423	2.646983255
424	2.644158413
425	2.642008397
426	2.634017552
427	2.629638816
428	2.620093376
429	2.613248001
430	2.607478631
431	2.601834507
432	2.593992539
433	2.589165784
434	2.587921254
435	2.582623481
436	2.57785755
437	2.57262129
438	2.571535804
439	2.562078236
440	2.556246329
441	2.54819863
442	2.540347634
443	2.536624768
444	2.531021292
445	2.52830805
446	2.525376457
447	2.517345616
448	2.513645416
449	2.507462528
450	2.503483477
451	2.502020729
452	2.500032843
453	2.494992356
454	2.487985202
455	2.483294055
456	2.482274115
457	2.473636913
458	2.469812308
459	2.463429483
460	2.46120261
461	2.459747808
462	2.458747913
463	2.457398029
464	2.451411635
465	2.449876847
466	2.444760007
467	2.439647117
468	2.435427302
469	2.42699773
470	2.422413564
471	2.418532958
472	2.411431624
473	2.405984156
474	2.401019708
475	2.398043235
476	2.393206539
477	2.39080107
478	2.38557006
479	2.38082072
480	2.378525633
481	2.376853945
482	2.375341023
483	2.368327007
484	2.363742156
485	2.358803121
486	2.353289712
487	2.347220335
488	2.346031465
489	2.343203142
490	2.340475144
491	2.33360474
492	2.331454909
493	2.325088794
494	2.322081298
495	2.317772897
496	2.31203815
497	2.307537901
498	2.306633404
499	2.298508353
500	2.295372717
501	2.29027527
502	2.284863599
503	2.281256499
504	2.278264293
505	2.271395222
506	2.263902215
507	2.263767569
508	2.259166893
509	2.253465303
510	2.249751169
511	2.248184088
512	2.245969987
513	2.243569012
514	2.23640793
515	2.230656967
516	2.228880712
517	2.225680234
518	2.2231381
519	2.217640836
520	2.215225978
521	2.214345023
522	2.208419123
523	2.203208177
524	2.20034689
525	2.198655018
526	2.193382353
527	2.185889728
528	2.182216223
529	2.181847837
530	2.177975423
531	2.176875941
532	2.170980921
533	2.16393761
534	2.161602341
535	2.159585056
536	2.156134164
537	2.1501384
538	2.146198818
539	2.140978007
540	2.13857533
541	2.131496503
542	2.126354521
543	2.120858392
544	2.115156572
545	2.114115886
546	2.113553194
547	2.106872924
548	2.104967737
549	2.104713592
550	2.10277954
551	2.098818366
552	2.096687381
553	2.091002122
554	2.084211419
555	2.083162828
556	2.079685926
557	2.076138364
