iter	Passed	Remaining
0	0	71
1	1	67
2	2	69
3	2	71
4	3	70
5	4	67
6	4	66
7	5	65
8	6	64
9	7	64
10	7	64
11	8	64
12	9	63
13	10	63
14	10	62
15	11	61
16	12	60
17	13	59
18	13	59
19	14	58
20	15	57
21	16	57
22	17	57
23	17	56
24	18	55
25	19	55
26	20	54
27	20	53
28	21	52
29	22	51
30	22	50
31	23	50
32	24	49
33	24	48
34	25	47
35	26	46
36	26	45
37	27	45
38	28	44
39	29	44
40	30	43
41	31	42
42	31	42
43	32	41
44	33	41
45	34	40
46	35	39
47	35	38
48	36	37
49	37	37
50	37	36
51	38	35
52	39	35
53	40	34
54	40	33
55	41	32
56	42	32
57	43	31
58	44	30
59	45	30
60	45	29
61	46	28
62	47	27
63	48	27
64	48	26
65	49	25
66	49	24
67	50	23
68	51	22
69	51	22
70	52	21
71	53	20
72	54	19
73	54	19
74	55	18
75	56	17
76	56	17
77	57	16
78	58	15
79	59	14
80	60	14
81	60	13
82	61	12
83	62	11
84	62	11
85	63	10
86	64	9
87	64	8
88	65	8
89	66	7
90	67	6
91	67	5
92	68	5
93	69	4
94	70	3
95	71	2
96	72	2
97	72	1
98	73	0
99	74	0
