iter	Passed	Remaining
0	147	147276
1	148	74236
2	149	49778
3	150	37559
4	151	30208
5	152	25291
6	153	21791
7	154	19180
8	156	17215
9	157	15589
10	158	14278
11	159	13164
12	160	12214
13	161	11404
14	162	10696
15	163	10075
16	164	9524
17	165	9037
18	166	8606
19	167	8215
20	169	7882
21	171	7617
22	172	7337
23	174	7078
24	175	6838
25	176	6610
26	177	6393
27	178	6195
28	179	6008
29	180	5837
30	181	5673
31	182	5522
32	184	5394
33	185	5262
34	186	5138
35	187	5023
36	188	4909
37	189	4800
38	190	4697
39	191	4599
40	192	4508
41	193	4420
42	194	4334
43	195	4253
44	197	4199
45	199	4139
46	200	4069
47	201	4000
48	202	3933
49	203	3869
50	204	3808
51	205	3748
52	206	3690
53	207	3634
54	208	3582
55	209	3532
56	210	3482
57	211	3436
58	213	3399
59	214	3366
60	215	3324
61	217	3284
62	218	3252
63	219	3216
64	221	3181
65	222	3144
66	223	3107
67	224	3072
68	225	3042
69	226	3014
70	228	2984
71	229	2959
72	230	2932
73	232	2904
74	233	2877
75	234	2847
76	235	2821
77	236	2793
78	237	2767
79	238	2740
80	239	2716
81	240	2694
82	241	2667
83	242	2645
84	243	2625
85	244	2603
86	245	2581
87	246	2559
88	248	2538
89	249	2518
90	250	2498
91	251	2478
92	252	2458
93	253	2439
94	254	2422
95	255	2407
96	256	2390
97	257	2373
98	258	2354
99	259	2337
100	260	2319
101	261	2304
102	262	2288
103	263	2273
104	264	2257
105	265	2242
106	266	2226
107	267	2211
108	268	2197
109	270	2185
110	271	2172
111	272	2158
112	273	2146
113	274	2133
114	275	2119
115	276	2106
116	277	2092
117	278	2080
118	279	2068
119	280	2055
120	281	2043
121	282	2029
122	283	2018
123	284	2011
124	285	2000
125	287	1991
126	288	1980
127	289	1969
128	290	1959
129	291	1947
130	291	1936
131	292	1926
132	293	1915
133	294	1905
134	295	1895
135	296	1885
136	297	1875
137	299	1867
138	300	1858
139	301	1849
140	302	1841
141	302	1830
142	303	1821
143	305	1813
144	305	1803
145	306	1795
146	307	1786
147	309	1778
148	310	1770
149	311	1762
150	312	1754
151	313	1748
152	314	1741
153	315	1735
154	316	1727
155	317	1719
156	318	1711
157	319	1704
158	320	1696
159	321	1690
160	322	1681
161	323	1674
